DATE,TRUCK,TRIP #,LEG ORG,LEG DEST,ZIP/POSTAL,MILES QTY,VMR RATE,MILEAGE PLUS,PREMIUMS,FUEL,TOTAL RATE,$ AMT,# PKGS,PKG $ AMT,D AND H,TOLLS,FLAT RATE,DAILY GROSS $ AMT,DRIVER #1,DRIVER #2
9-11-18,456,118260927,7153,406,18631,552,1.416,0.115,0,0.287,1.818,1003.53,0,0,13,0,0,1016.53,8156986,8156988
24-11-18,456,118907293,406,7153,41051,553,1.416,0.115,0,0.2057,1.7367,960.4,0,0,13,0,0,973.4,8156986,8156988
24-11-18,456,118944746,7153,406,18631,552,1.416,0.115,0,0.2057,1.7367,958.66,0,0,13,0,0,971.66,8156986,8156988
26-11-18,456,118989767,406,7153,41051,553,1.416,0.115,0,0.2057,1.7367,960.4,0,0,13,0,0,973.4,8156986,8156988
26-11-18,456,119009629,7153,406,18631,552,1.416,0.115,0,0.2057,1.7367,958.66,0,0,13,0,0,971.66,8156986,8156988
27-11-18,456,119041746,406,7153,41051,553,1.416,0.115,0,0.2057,1.7367,960.4,0,0,13,0,0,973.4,8156986,8156988
27-11-18,456,119078029,7153,406,18631,552,1.416,0.115,0,0.2057,1.7367,958.66,0,0,13,0,0,971.66,8156986,8156988
28-11-18,456,119107747,406,8312,41051,573,1.416,0.115,0,0.2057,1.7367,995.14,0,0,13,0,0,1008.14,8156986,8156988
28-11-18,456,119151960,8312,406,31091,574,1.416,0.115,0,0.2057,1.7367,996.86,0,0,13,0,0,1009.86,8156986,8156988
29-11-18,456,119181301,406,7589,41051,426,1.416,0.115,0,0.2057,1.7367,739.84,0,0,13,0,0,752.84,8156986,8156988
29-11-18,456,119218987,7589,406,30144,426,1.416,0.115,0,0.2057,1.7367,739.84,0,0,13,0,0,752.84,8156986,8156988
30-11-18,456,119262887,406,7589,41051,426,1.416,0.115,0,0.2057,1.7367,739.84,0,0,13,0,0,752.84,8156986,8156988
30-11-18,456,119291655,7589,406,30144,426,1.416,0.115,0,0.2057,1.7367,739.84,0,0,13,0,0,752.84,8156986,8156988
3-11-18,456,117972590,5431,432,43123,8,3.092,0.125,0,0.287,3.504,28.04,0,0,9,0,0,37.04,7297759,7467174
3-11-18,456,117974917,432,5431,43123,9,3.035,0.125,0,0.287,3.447,31.03,0,0,9,0,0,40.03,7297759,7467174
3-11-18,456,117976177,5431,8643,43123,459,1.416,0.125,0,0.287,1.828,839.05,0,0,9,0,0,848.05,7297759,7467174
3-11-18,456,118007672,8643,432,63348,464,1.416,0.125,0,0.287,1.828,848.19,0,0,13,0,0,861.19,7297759,7467174
5-11-18,456,118030795,432,5436,43123,15,2.74,0.125,0,0.287,3.152,47.29,0,0,13,0,0,60.29,7297759,7467174
5-11-18,456,118036801,5436,89,43125,522,1.416,0.125,0,0.287,1.828,954.21,0,0,13,0,0,967.21,7297759,7467174
5-11-18,456,118041408,89,5087,8832,5,3.275,0.125,0,0.287,3.687,18.45,0,0,9,0,0,27.45,7297759,7467174
6-11-18,456,118058080,5087,5431,8837,527,1.416,0.125,0,0.287,1.828,963.36,0,0,9,0,0,972.36,7297759,7467174
6-11-18,456,118059204,5431,5087,43123,527,1.416,0.125,0,0.287,1.828,963.36,0,0,13,0,0,976.36,7297759,7467174
6-11-18,456,118091654,5087,5431,8837,527,1.416,0.125,0,0.287,1.828,963.36,0,0,9,0,0,972.36,7297759,7467174
7-11-18,456,118108457,5431,432,43123,8,3.092,0.125,0,0.287,3.504,28.04,0,0,13,0,0,41.04,7297759,7467174
7-11-18,456,118110725,432,5087,43123,529,1.416,0.125,0,0.287,1.828,967.01,0,0,13,0,0,980.01,7297759,7467174
7-11-18,456,118146874,5087,5431,8837,527,1.416,0.125,0,0.287,1.828,963.36,0,0,9,0,0,972.36,7297759,7467174
8-11-18,456,118167181,5431,432,43123,8,3.092,0.125,0,0.287,3.504,28.04,0,0,13,0,0,41.04,7297759,7467174
8-11-18,456,118168331,432,89,43123,528,1.416,0.125,0,0.287,1.828,965.19,0,0,13,0,0,978.19,7297759,7467174
8-11-18,456,118202707,89,5087,8832,5,3.275,0.125,0,0.287,3.687,18.45,0,0,9,0,0,27.45,7297759,7467174
8-11-18,456,118203575,5087,5431,8837,527,1.416,0.125,0,0.287,1.828,963.36,0,0,9,0,0,972.36,7297759,7467174
9-11-18,456,118219468,5431,432,43123,8,3.092,0.125,0,0.287,3.504,28.04,0,0,13,0,0,41.04,7297759,7467174
9-11-18,456,118221163,432,89,43123,528,1.305,0.095,0,0.287,1.687,890.74,0,0,13,0,0,903.74,7297759,
